Posicion,Equipo,PJ,PG,PE,PP,DIF,Goles,Puntos,Ultimos_5
1,Alianza Lima,17,12,4,1,+22,30:8,40,VEVVE
2,Los Chankas,17,10,4,3,+4,25:21,34,DEVDE
3,Cienciano,17,10,3,4,+12,34:22,33,VVDEV
4,Universitario,17,8,5,4,+9,24:15,29,VEDEV
5,Melgar,17,8,4,5,+9,29:20,28,VEVEV
6,Cusco,17,8,3,6,-3,21:24,27,EEDVV
7,Deportivo Garcilaso,17,7,5,5,+3,21:18,26,VVVEV
8,Alianza Atlético,17,5,6,6,+2,20:18,21,VDVED
9,Comerciantes Unidos,17,5,6,6,-2,18:20,21,DEDED
10,ADT,17,5,5,7,+1,22:21,20,VEVDD
11,Sport Boys,17,5,5,7,-4,15:19,20,DEVEV
12,Sporting Cristal,17,5,4,8,-2,28:30,19,EEDVD
13,UTC,17,4,6,7,-5,21:26,18,DDDEE
14,Moquegua,17,5,3,9,-7,17:24,18,DEDED
15,Cajamarca,17,4,5,8,-5,23:28,17,VVVEE
16,Atlético Grau,17,4,4,9,-6,12:18,16,DDVDV
17,Sport Huancayo,17,4,4,9,-10,21:31,16,DVDED
18,ACD Juan Pablo II,17,4,4,9,-18,22:40,16,DDDED