fecha;Jornada;equipo_local;equipo_visitante;goles_local;goles_visitante;Hora;url_partido
24/7/26;Clausura 2;Alianza Atlético;Los Chankas;N/A;N/A;15:00;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-alianza-atletico-de-sullana/hWseVac#id:16281126
24/7/26;Clausura 2;Universitario;Cusco;N/A;N/A;20:30;https://www.sofascore.com/es-la/football/match/cusco-fc-universitario-de-deportes/fWskAA#id:16280780
25/7/26;Clausura 2;Sport Huancayo;Atlético Grau;N/A;N/A;13:00;https://www.sofascore.com/es-la/football/match/club-atletico-grau-sport-huancayo/VCnsNanc#id:16280781
25/7/26;Clausura 2;ADC Juan Pablo II;Cienciano;N/A;N/A;15:!5;https://www.sofascore.com/es-la/football/match/cd-juan-pablo-ii-cienciano/bWsgzee#id:16281117
25/7/26;Clausura 2;Sport Boys;ADT;N/A;N/A;17:30;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-sport-boys/mWshlJc#id:16280778
25/7/26;Clausura 2;Melgar;Sporting Cristal;N/A;N/A;20:00;https://www.sofascore.com/es-la/football/match/melgar-club-sporting-cristal/cWsiW#id:16281128
26/7/26;Clausura 2;UTC;Moquegua;N/A;N/A;13:00;https://www.sofascore.com/es-la/football/match/cd-moquegua-universidad-tecnica-de-cajamarca/ehKsYgXd#id:16281121
26/7/26;Clausura 2;Comerciantes Unidos;Alianza Lima;N/A;N/A;15:30;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-alianza-lima/lWsjxKb#id:16281122
26/7/26;Clausura 2;Deportivo Garcilaso;Cajamarca;N/A;N/A;19:00;https://www.sofascore.com/es-la/football/match/fc-cajamarca-deportivo-garcilaso/JwIdscPHi#id:16281120
19/07/2026;Clausura 1;Los Chankas;Sport Boys;1;0;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-sport-boys/mWseVac#id:16281115
19/07/2026;Clausura 1;Alianza Lima;Sport Huancayo;2;1;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-alianza-lima/lWsVCn#id:16281109
18/07/2026;Clausura 1;Moquegua;Comerciantes Unidos;2;2;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-comerciantes-unidos/jxKbsYgXd#id:16281112
18/07/2026;Clausura 1;ADT;Universitario;1;2;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-universitario-de-deportes/fWshlJc#id:16281108
18/07/2026;Clausura 1;Atlético Grau;UTC;3;1;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-universidad-tecnica-de-cajamarca/ehKsNanc#id:16281114
18/07/2026;Clausura 1;Cusco;Alianza Atlético;4;1;No;https://www.sofascore.com/es-la/football/match/cusco-fc-alianza-atletico-de-sullana/hWskAA#id:16281113
17/07/2026;Clausura 1;Cajamarca;ADC Juan Pablo II;2;2;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-cd-juan-pablo-ii/gzeescPHi#id:16281111
17/07/2026;Clausura 1;Sporting Cristal;Deportivo Garcilaso;1;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-club-sporting-cristal/cWsJwId#id:16281116
17/07/2026;Clausura 1;Cienciano;Melgar;1;3;No;https://www.sofascore.com/es-la/football/match/melgar-cienciano/bWsiW#id:16281110
31/05/2026;Apertura 17;Cienciano;Sporting Cristal;3;2;No;https://www.sofascore.com/es-la/football/match/club-sporting-cristal-cienciano/bWscW#id:16153077
31/05/2026;Apertura 17;Cajamarca;Alianza Lima;1;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-alianza-lima/lWscPHi#id:16153415
31/05/2026;Apertura 17;Los Chankas;UTC;2;2;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-universidad-tecnica-de-cajamarca/ehKseVac#id:16153076
31/05/2026;Apertura 17;Melgar;Alianza Atlético;3;1;No;https://www.sofascore.com/es-la/football/match/melgar-alianza-atletico-de-sullana/hWsiW#id:16153078
30/05/2026;Apertura 17;Universitario;Sport Huancayo;2;1;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-universitario-de-deportes/fWsVCn#id:16153075
30/05/2026;Apertura 17;Sport Boys;Comerciantes Unidos;1;0;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-sport-boys/mWsjxKb#id:16153073
30/05/2026;Apertura 17;Deportivo Garcilaso;ADC Juan Pablo II;4;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-deportivo-garcilaso/JwIdsgzee#id:16153074
30/05/2026;Apertura 17;ADT;Cusco;1;2;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-cusco-fc/kAAshlJc#id:16153068
29/05/2026;Apertura 17;Atlético Grau;Moquegua;1;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-club-atletico-grau/NancsYgXd#id:16153069
25/05/2026;Apertura 16;Comerciantes Unidos;Deportivo Garcilaso;0;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-comerciantes-unidos/jxKbsJwId#id:16147472
24/05/2026;Apertura 16;Sporting Cristal;ADT;2;1;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-club-sporting-cristal/cWshlJc#id:16147473
24/05/2026;Apertura 16;Alianza Atlético;Cajamarca;1;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-alianza-atletico-de-sullana/hWscPHi#id:16147490
24/05/2026;Apertura 16;Sport Huancayo;Cienciano;2;2;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-cienciano/bWsVCn#id:16147470
23/05/2026;Apertura 16;Moquegua;Universitario;0;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-universitario-de-deportes/fWsYgXd#id:16147469
23/05/2026;Apertura 16;UTC;Sport Boys;0;0;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-sport-boys/mWsehK#id:16147471
23/05/2026;Apertura 16;Alianza Lima;Los Chankas;3;0;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-alianza-lima/lWseVac#id:16147468
23/05/2026;Apertura 16;Cusco;Atlético Grau;1;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-cusco-fc/kAAsNanc#id:16147474
22/05/2026;Apertura 16;ADC Juan Pablo II;Melgar;1;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-melgar/iWsgzee#id:16147467
17/05/2026;Apertura 15;ADT;Comerciantes Unidos;2;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-comerciantes-unidos/jxKbshlJc#id:16022837
17/05/2026;Apertura 15;Los Chankas;Moquegua;1;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-los-chankas-cyc/eVacsYgXd#id:16022836
17/05/2026;Apertura 15;Deportivo Garcilaso;UTC;2;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-universidad-tecnica-de-cajamarca/ehKsJwId#id:16022838
16/05/2026;Apertura 15;Melgar;Sport Huancayo;4;1;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-melgar/iWsVCn#id:16022835
16/05/2026;Apertura 15;Sport Boys;Cusco;1;0;No;https://www.sofascore.com/es-la/football/match/cusco-fc-sport-boys/mWskAA#id:16022839
16/05/2026;Apertura 15;ADC Juan Pablo II;Alianza Atlético;0;2;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-alianza-atletico-de-sullana/hWsgzee#id:16022833
16/05/2026;Apertura 15;Cienciano;Alianza Lima;0;1;No;https://www.sofascore.com/es-la/football/match/alianza-lima-cienciano/bWslW#id:16022834
15/05/2026;Apertura 15;Universitario;Atlético Grau;0;1;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-universitario-de-deportes/fWsNanc#id:16022832
15/05/2026;Apertura 15;Cajamarca;Sporting Cristal;3;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-club-sporting-cristal/cWscPHi#id:16022831
11/05/2026;Apertura 14;Deportivo Garcilaso;Alianza Atlético;2;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-alianza-atletico-de-sullana/hWsJwId#id:16022825
11/05/2026;Apertura 14;Sport Boys;Universitario;0;0;No;https://www.sofascore.com/es-la/football/match/sport-boys-universitario-de-deportes/fWsmW#id:16022823
10/05/2026;Apertura 14;Sport Huancayo;ADC Juan Pablo II;2;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-sport-huancayo/VCnsgzee#id:16022824
10/05/2026;Apertura 14;Cusco;Los Chankas;1;1;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-cusco-fc/kAAseVac#id:16022829
10/05/2026;Apertura 14;Comerciantes Unidos;Melgar;1;1;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-melgar/iWsjxKb#id:16022822
9/05/2026;Apertura 14;Moquegua;ADT;2;2;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-asociacion-deportiva-tarma/hlJcsYgXd#id:16022828
9/05/2026;Apertura 14;Alianza Lima;Sporting Cristal;1;1;No;https://www.sofascore.com/es-la/football/match/alianza-lima-club-sporting-cristal/cWslW#id:16022826
9/05/2026;Apertura 14;Atlético Grau;Cienciano;1;2;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-cienciano/bWsNanc#id:16022830
8/05/2026;Apertura 14;UTC;Cajamarca;1;2;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-universidad-tecnica-de-cajamarca/ehKscPHi#id:16022827
4/05/2026;Apertura 13;Los Chankas;Deportivo Garcilaso;0;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-los-chankas-cyc/eVacsJwId#id:15930116
3/05/2026;Apertura 13;Sporting Cristal;Cusco;2;2;No;https://www.sofascore.com/es-la/football/match/cusco-fc-club-sporting-cristal/cWskAA#id:15930114
3/05/2026;Apertura 13;Melgar;UTC;2;0;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-melgar/iWsehK#id:15930117
3/05/2026;Apertura 13;ADC Juan Pablo II;Universitario;1;4;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-universitario-de-deportes/fWsgzee#id:15930119
3/05/2026;Apertura 13;Alianza Atlético;Sport Huancayo;4;1;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-alianza-atletico-de-sullana/hWsVCn#id:15930118
2/05/2026;Apertura 13;Alianza Lima;Moquegua;2;1;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-alianza-lima/lWsYgXd#id:15930115
2/05/2026;Apertura 13;Cienciano;Comerciantes Unidos;1;0;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-cienciano/bWsjxKb#id:15930121
2/05/2026;Apertura 13;ADT;Atlético Grau;1;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-club-atletico-grau/NancshlJc#id:15930120
2/05/2026;Apertura 13;Cajamarca;Sport Boys;3;2;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-sport-boys/mWscPHi#id:15930122
27/04/2026;Apertura 12;ADT;Los Chankas;4;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-los-chankas-cyc/eVacshlJc#id:15931822
27/04/2026;Apertura 12;Deportivo Garcilaso;Melgar;1;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-melgar/iWsJwId#id:15929225
26/04/2026;Apertura 12;UTC;Cienciano;2;2;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-cienciano/bWsehK#id:15929228
26/04/2026;Apertura 12;Universitario;Alianza Atlético;1;2;No;https://www.sofascore.com/es-la/football/match/alianza-atletico-de-sullana-universitario-de-deportes/fWshW#id:15929230
26/04/2026;Apertura 12;Cusco;Sport Huancayo;2;1;No;https://www.sofascore.com/es-la/football/match/cusco-fc-sport-huancayo/VCnskAA#id:15929227
26/04/2026;Apertura 12;Atlético Grau;Alianza Lima;0;1;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-alianza-lima/lWsNanc#id:15929231
25/04/2026;Apertura 12;Sport Boys;ADC Juan Pablo II;1;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-sport-boys/mWsgzee#id:15929226
25/04/2026;Apertura 12;Comerciantes Unidos;Sporting Cristal;1;0;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-club-sporting-cristal/cWsjxKb#id:15929229
25/04/2026;Apertura 12;Moquegua;Cajamarca;2;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-cd-moquegua/YgXdscPHi#id:15929412
23/04/2026;Apertura 10;Los Chankas;Cienciano;1;0;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-cienciano/bWseVac#id:15881793
22/04/2026;Apertura 10;Comerciantes Unidos;Alianza Atlético;1;0;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-alianza-atletico-de-sullana/hWsjxKb#id:15881789
22/04/2026;Apertura 10;Universitario;Deportivo Garcilaso;4;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-universitario-de-deportes/fWsJwId#id:15881794
22/04/2026;Apertura 10;Atlético Grau;Sporting Cristal;4;1;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-club-sporting-cristal/cWsNanc#id:15881788
22/04/2026;Apertura 10;Cusco;Cajamarca;1;0;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-cusco-fc/kAAscPHi#id:15881787
19/04/2026;Apertura 11;Cienciano;Moquegua;2;1;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-cienciano/bWsYgXd#id:15885918
19/04/2026;Apertura 11;Alianza Atlético;Sport Boys;0;1;No;https://www.sofascore.com/es-la/football/match/sport-boys-alianza-atletico-de-sullana/hWsmW#id:15885660
19/04/2026;Apertura 11;Melgar;Universitario;2;1;No;https://www.sofascore.com/es-la/football/match/melgar-universitario-de-deportes/fWsiW#id:15885656
19/04/2026;Apertura 11;Sporting Cristal;UTC;3;2;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-club-sporting-cristal/cWsehK#id:15885659
18/04/2026;Apertura 11;Cajamarca;ADT;2;2;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-asociacion-deportiva-tarma/hlJcscPHi#id:15885655
18/04/2026;Apertura 11;ADC Juan Pablo II;Comerciantes Unidos;2;2;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-comerciantes-unidos/jxKbsgzee#id:15885654
18/04/2026;Apertura 11;Sport Huancayo;Deportivo Garcilaso;2;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-sport-huancayo/VCnsJwId#id:15885657
